縣市,統計期,業者名稱,現在的基地台數量,之前的基地台數量
13,1100228,4,352,348
13,1100131,4,348,348
13,1091231,4,348,348
13,1091130,4,348,346
13,1091031,4,346,346
13,1090930,4,346,346
13,1090831,4,346,341
13,1090731,4,341,343
13,1090630,4,343,343
13,1090531,4,343,335
13,1090430,4,335,335
13,1090331,4,335,335
13,1090229,4,335,335
13,1090131,4,335,341
13,1081231,4,341,337
13,1081130,4,337,335
13,1081031,4,335,335
13,1080930,4,335,290
13,1080831,4,290,290
13,1080731,4,290,267
13,1080630,4,267,267
13,1080531,4,267,267
13,1080430,4,267,255
13,1080331,4,255,253
13,1080228,4,253,241
13,1080131,4,241,241
14,1120531,4,250,250
14,1120430,4,250,250
14,1120331,4,250,250
14,1120228,4,250,250
14,1120131,4,250,250
14,1111231,4,250,265
14,1111130,4,265,265
14,1111031,4,265,274
14,1110930,4,274,268
14,1110831,4,268,300
14,1110731,4,300,300
14,1110630,4,300,300
14,1110531,4,300,300
14,1110430,4,300,300
14,1110331,4,300,300
14,1110228,4,300,300
14,1110131,4,300,300
14,1101231,4,300,300
14,1101130,4,300,300
14,1101031,4,300,300
14,1100930,4,300,296
14,1100831,4,296,296
14,1100731,4,296,296
14,1100630,4,296,296
14,1100531,4,296,296
14,1100430,4,296,296
14,1100331,4,296,296
14,1100228,4,296,294
14,1100131,4,294,294
14,1091231,4,294,294
14,1091130,4,294,293
14,1091031,4,293,293
14,1090930,4,293,293
14,1090831,4,293,289
14,1090731,4,289,289
14,1090630,4,289,289
14,1090531,4,289,276
14,1090430,4,276,276
14,1090331,4,276,276
14,1090229,4,276,276
14,1090131,4,276,276
14,1081231,4,276,264
14,1081130,4,264,263
14,1081031,4,263,263
14,1080930,4,263,257
14,1080831,4,257,257
14,1080731,4,257,248
14,1080630,4,248,248
14,1080531,4,248,248
14,1080430,4,248,244
14,1080331,4,244,242
14,1080228,4,242,232
14,1080131,4,232,232
15,1120531,4,233,233
15,1120430,4,233,233
15,1120331,4,233,233
15,1120228,4,233,233
15,1120131,4,233,233
15,1111231,4,233,233
15,1111130,4,233,228
15,1111031,4,228,228
15,1110930,4,228,228
15,1110831,4,228,229
15,1110731,4,229,218
15,1110630,4,218,250
15,1110531,4,250,250
15,1110430,4,250,250
15,1110331,4,250,250
15,1110228,4,250,250
15,1110131,4,250,250
15,1101231,4,250,252
15,1101130,4,252,252
15,1101031,4,252,252
15,1100930,4,252,250
15,1100831,4,250,251
15,1100731,4,251,250
15,1100630,4,250,242
15,1100531,4,242,242
15,1100430,4,242,242
15,1100331,4,242,242
15,1100228,4,242,242
15,1100131,4,242,242
15,1091231,4,242,249
15,1091130,4,249,249
15,1091031,4,249,249
15,1090930,4,249,244
15,1090831,4,244,245
15,1090731,4,245,245
15,1090630,4,245,245
15,1090531,4,245,231
15,1090430,4,231,231
15,1090331,4,231,230
15,1090229,4,230,230
15,1090131,4,230,230
15,1081231,4,230,230
15,1081130,4,230,225
15,1081031,4,225,217
15,1080930,4,217,213
15,1080831,4,213,213
15,1080731,4,213,213
15,1080630,4,213,213
15,1080531,4,213,213
15,1080430,4,213,208
15,1080331,4,208,208
15,1080228,4,208,208
15,1080131,4,208,208
