縣市,基地臺
18,673
21,123
13,785
16,880
11,823
3,1883
6,2471
7,267
22,40
14,699
2,2852
8,386
10,682
9,260
15,494
12,1148
4,3352
1,2749
19,417
5,1550
20,170
17,584
18,671
21,123
13,784
16,880
11,823
3,1858
6,2421
7,263
22,40
14,699
2,2741
8,386
10,682
9,260
15,495
12,1141
4,3272
1,2705
19,417
5,1550
20,170
17,586
18,674
21,123
13,784
16,881
11,823
3,1858
6,2362
7,263
22,41
14,699
2,2686
8,386
10,682
9,261
15,495
12,1141
4,3182
1,2662
19,417
5,1550
20,170
17,584
18,674
21,123
13,780
16,881
11,810
3,1859
6,2302
7,263
22,41
14,691
2,2614
8,386
10,682
9,261
15,495
12,1121
4,3023
1,2586
19,417
5,1550
20,170
17,584
18,674
21,123
13,780
16,882
11,810
3,1859
6,2305
7,263
22,41
14,691
2,2614
8,386
10,682
9,261
15,495
12,1121
4,3023
1,2586
19,417
5,1552
20,170
17,584
18,674
21,123
13,780
16,883
11,810
3,1859
6,2305
7,263
22,41
14,691
2,2614
8,386
10,687
9,261
15,495
12,1121
4,3023
1,2586
19,417
5,1553
20,170
17,572
18,659
21,122
13,780
16,876
11,810
3,1854
6,2283
7,262
22,41
14,691
2,2606
8,386
10,687
9,260
15,488
12,1121
4,3023
1,2577
19,415
5,1544
20,170
17,572
18,662
21,122
13,759
16,876
11,790
3,1854
6,2283
7,262
22,41
14,679
2,2606
8,382
10,680
9,260
15,488
12,1085
4,2887
1,2577
19,415
5,1544
20,170
17,572
18,662
21,122
13,759
16,876
11,790
3,1854
6,2283
7,262
22,41
14,679
2,2606
8,382
10,680
9,260
15,488
12,1085
4,2887
1,2577
19,415
5,1544
20,170
17,560
18,629
21,122
13,759
16,871
11,790
3,1830
6,2258
7,257
22,39
14,679
2,2572
8,382
10,680
9,260
15,485
12,1085
4,2887
1,2547
19,410
5,1537
20,170
17,562
18,632
21,117
13,759
16,818
11,790
3,1832
6,2205
7,257
22,39
14,679
2,2580
8,382
10,680
9,257
15,475
12,1085
4,2887
1,2549
19,389
5,1505
20,170
17,562
18,632
21,117
13,759
16,818
11,790
3,1832
6,2205
7,257
22,39
14,679
2,2580
8,383
10,679
9,257
15,475
12,1085
4,2887
1,2549
19,389
5,1507
20,170
17,555
18,624
21,114
13,759
16,795
11,790
3,1828
6,2172
7,257
22,38
14,679
2,2571
8,383
10,679
9,254
15,464
12,1085
4,2887
1,2531
19,387
5,1501
20,168
17,553
18,622
21,113
13,753
16,785
11,788
3,1819
6,2155
7,255
22,38
14,671
2,2564
8,383
10,660
9,253
15,457
12,1077
4,2861
1,2524
19,380
5,1491
20,167
17,551
18,620
21,113
13,743
16,783
11,782
3,1809
6,2134
7,252
22,38
14,655
2,2556
8,383
10,648
9,254
15,457
12,1062
4,2818
1,2514
19,380
5,1483
20,167
17,551
18,620
21,110
13,743
16,773
11,782
3,1793
6,2119
7,252
22,38
14,655
2,2517
8,383
10,648
9,254
15,455
12,1062
4,2820
1,2495
19,377
5,1467
20,166
17,551
18,620
21,110
13,743
16,773
11,782
3,1795
6,2119
7,252
22,38
14,655
2,2519
8,383
10,652
9,254
15,455
12,1062
4,2824
1,2495
19,377
5,1467
20,166
17,551
18,620
21,107
13,734
16,758
11,763
3,1797
6,2100
7,254
22,38
14,642
2,2519
8,383
10,652
9,252
15,454
12,1030
4,2747
1,2500
19,374
5,1462
20,165
17,551
18,620
21,106
13,734
16,734
11,763
3,1797
6,2095
7,254
22,38
14,642
2,2519
8,383
10,652
9,252
15,454
12,1030
4,2747
1,2500
19,361
5,1457
20,165
17,551
18,620
21,102
13,734
16,695
11,763
3,1797
6,2054
7,254
22,38
14,642
2,2519
8,383
10,652
9,250
15,436
12,1030
4,2747
1,2500
19,354
5,1428
20,165
17,424
18,433
21,47
13,527
16,702
11,498
3,1538
6,1966
7,224
22,20
14,459
2,2329
8,363
10,522
9,174
15,368
12,697
4,2167
1,1830
19,291
5,1309
20,75
17,424
18,433
21,47
13,527
16,702
11,498
3,1538
6,1966
7,224
22,20
14,459
2,2329
8,363
10,522
9,174
15,368
12,697
4,2167
1,1830
19,291
5,1309
20,75
17,424
18,433
21,47
13,527
16,704
11,498
3,1538
6,1966
7,224
22,20
14,459
2,2329
8,363
10,522
9,174
15,368
12,697
4,2167
1,1830
19,291
5,1309
20,75
17,424
18,433
21,47
13,527
16,704
11,498
3,1538
6,1966
7,224
22,20
14,459
2,2329
8,363
10,522
9,174
15,368
12,697
4,2167
1,1830
19,291
5,1309
20,75
17,424
18,433
21,47
13,527
16,704
11,498
3,1538
6,1966
7,224
22,20
14,460
2,2329
8,363
10,522
9,174
15,368
12,697
4,2167
1,1830
19,292
5,1309
20,75
17,424
18,433
21,47
13,527
16,704
11,498
3,1539
6,1966
7,224
22,20
14,460
2,2329
8,363
10,522
9,174
15,368
12,697
4,2167
1,1830
19,292
5,1309
20,75
17,423
18,430
21,47
13,527
16,704
11,498
3,1542
6,1966
7,224
22,20
14,460
2,2328
8,363
10,522
9,174
15,368
12,697
4,2167
1,1825
19,292
5,1309
20,75
17,424
18,433
21,47
13,527
16,704
11,498
3,1542
6,1966
7,224
22,20
14,460
2,2329
8,363
10,522
9,174
15,368
12,697
4,2167
1,1830
19,292
5,1309
20,75
17,424
18,433
21,47
13,527
16,704
11,498
3,1543
6,1963
7,224
22,20
14,460
2,2330
8,363
10,522
9,173
15,368
12,697
4,2167
1,1830
19,292
5,1309
20,75
17,424
18,433
21,47
13,527
16,704
11,498
3,1543
6,1963
7,224
22,20
14,460
2,2330
8,363
10,522
9,173
15,368
12,699
4,2167
1,1830
19,292
5,1309
20,75
17,424
18,433
21,47
13,527
16,704
11,498
3,1545
6,1963
7,224
22,20
14,460
2,2330
8,363
10,522
9,173
15,368
12,699
4,2167
1,1830
19,292
5,1309
20,75
17,423
18,433
21,47
13,527
16,704
11,498
3,1525
6,1963
7,224
22,20
14,460
2,2326
8,363
10,522
9,173
15,368
12,699
4,2167
1,1826
19,292
5,1310
20,75
17,423
18,433
21,47
13,527
16,704
11,498
3,1525
6,1963
7,224
22,20
14,460
2,2326
8,363
10,522
9,173
15,368
12,699
4,2167
1,1827
19,292
5,1310
20,75
17,423
18,432
21,47
13,527
16,703
11,498
3,1528
6,1961
7,224
22,20
14,460
2,2326
8,363
10,522
9,172
15,368
12,699
4,2167
1,1824
19,292
5,1304
20,75
17,414
18,431
21,47
13,522
16,703
11,495
3,1510
6,1961
7,223
22,20
14,454
2,2295
8,363
10,518
9,172
15,368
12,689
4,2136
1,1817
19,292
5,1304
20,75
17,414
18,431
21,47
13,522
16,703
11,495
3,1510
6,1961
7,223
22,20
14,454
2,2295
8,363
10,518
9,172
15,368
12,689
4,2136
1,1817
19,292
5,1304
20,75
17,414
18,431
21,47
13,522
16,703
11,495
3,1512
6,1961
7,223
22,20
14,454
2,2295
8,363
10,518
9,172
15,368
12,689
4,2136
1,1817
19,292
5,1304
20,75
17,413
18,421
21,47
13,522
16,695
11,493
3,1501
6,1952
7,223
22,20
14,454
2,2284
8,363
10,518
9,171
15,364
12,688
4,2129
1,1810
19,285
5,1300
20,74
17,413
18,421
21,47
13,513
16,695
11,489
3,1501
6,1952
7,223
22,20
14,454
2,2284
8,363
10,517
9,171
15,364
12,688
4,2129
1,1810
19,285
5,1300
20,74
17,413
18,421
21,47
13,513
16,695
11,489
3,1501
6,1952
7,223
22,20
14,454
2,2284
8,363
10,517
9,171
15,364
12,688
4,2129
1,1810
19,285
5,1300
20,74
17,413
18,421
21,47
13,513
16,693
11,489
3,1501
6,1946
7,223
22,20
14,454
2,2287
8,363
10,517
9,168
15,359
12,688
4,2129
1,1810
19,283
5,1291
20,74
17,413
18,421
21,47
13,513
16,693
11,489
3,1501
6,1946
7,223
22,20
14,454
2,2290
8,363
10,517
9,168
15,359
12,688
4,2133
1,1810
19,283
5,1291
20,74
17,413
18,421
21,47
13,513
16,693
11,489
3,1501
6,1947
7,223
22,20
14,454
2,2290
8,363
10,517
9,168
15,359
12,688
4,2133
1,1810
19,283
5,1291
20,74
17,413
18,421
21,47
13,513
16,693
11,489
3,1501
6,1948
7,223
22,20
14,454
2,2291
8,363
10,517
9,168
15,359
12,688
4,2133
1,1810
19,283
5,1291
20,74
17,413
18,421
21,47
13,505
16,692
11,487
3,1501
6,1942
7,223
22,20
14,445
2,2291
8,363
10,517
9,167
15,359
12,685
4,2115
1,1811
19,282
5,1289
20,74
17,413
18,421
21,47
13,505
16,692
11,487
3,1501
6,1942
7,223
22,20
14,445
2,2292
8,363
10,517
9,167
15,359
12,685
4,2106
1,1811
19,285
5,1291
20,74
17,424
18,425
21,47
13,505
16,691
11,487
3,1501
6,1933
7,225
22,21
14,445
2,2302
8,363
10,517
9,167
15,358
12,685
4,2106
1,1848
19,280
5,1285
20,74
17,424
18,425
21,47
13,505
16,691
11,487
3,1510
6,1933
7,225
22,21
14,445
2,2308
