統計期,基地臺
1101231,3290
1101231,2617
1101231,439
1101231,1689
1101231,169
1101130,632
1101130,701
1101130,126
1101130,810
1101130,921
1101130,852
1101130,1911
1101130,2409
1101130,275
1101130,42
1101130,711
1101130,2659
1101130,399
1101130,700
1101130,271
1101130,541
1101130,1178
1101130,3290
1101130,2617
1101130,437
1101130,1691
1101130,169
1101031,632
1101031,701
1101031,126
1101031,810
1101031,919
1101031,852
1101031,1911
1101031,2362
1101031,275
1101031,42
1101031,711
1101031,2659
1101031,399
1101031,700
1101031,271
1101031,538
1101031,1178
1101031,3292
1101031,2617
1101031,437
1101031,1660
1101031,169
1100930,632
1100930,701
1100930,126
1100930,810
1100930,919
1100930,852
1100930,1894
1100930,2359
1100930,277
1100930,42
1100930,711
1100930,2641
1100930,391
1100930,683
1100930,271
1100930,535
1100930,1178
1100930,3292
1100930,2617
1100930,437
1100930,1616
1100930,169
1100831,630
1100831,699
1100831,126
1100831,810
1100831,919
1100831,852
1100831,1882
1100831,2322
1100831,277
1100831,42
1100831,711
1100831,2627
1100831,391
1100831,683
1100831,271
1100831,535
1100831,1178
1100831,3292
1100831,2600
1100831,437
1100831,1619
1100831,169
1100731,630
1100731,697
1100731,126
1100731,801
1100731,920
1100731,844
1100731,1879
1100731,2322
1100731,277
1100731,42
1100731,708
1100731,2612
1100731,391
1100731,683
1100731,269
1100731,527
1100731,1167
1100731,3242
1100731,2584
1100731,420
1100731,1619
1100731,169
1100630,630
1100630,697
1100630,124
1100630,801
1100630,922
1100630,839
1100630,1879
1100630,2311
1100630,277
1100630,42
1100630,708
1100630,2612
1100630,386
1100630,675
1100630,269
1100630,527
1100630,1167
1100630,3235
1100630,2584
1100630,420
1100630,1619
1100630,169
1100531,630
1100531,697
1100531,124
1100531,801
1100531,922
1100531,839
1100531,1865
1100531,2311
1100531,277
1100531,42
1100531,708
1100531,2610
1100531,386
1100531,675
1100531,269
1100531,527
1100531,1167
1100531,3235
1100531,2584
1100531,420
1100531,1619
1100531,169
1100430,621
1100430,698
1100430,124
1100430,793
1100430,884
1100430,828
1100430,1882
1100430,2309
1100430,272
1100430,42
1100430,706
1100430,2656
1100430,386
1100430,675
1100430,265
1100430,509
1100430,1143
1100430,3142
1100430,2636
1100430,420
1100430,1551
1100430,169
1100331,621
1100331,698
1100331,126
1100331,793
1100331,890
1100331,828
1100331,1882
1100331,2318
1100331,272
1100331,42
1100331,706
1100331,2656
1100331,386
1100331,681
1100331,260
1100331,495
1100331,1143
1100331,3142
1100331,2636
1100331,422
1100331,1554
1100331,171
1100228,622
1100228,701
1100228,126
1100228,793
1100228,890
1100228,828
1100228,1882
1100228,2320
1100228,272
1100228,42
1100228,706
1100228,2658
1100228,386
1100228,681
1100228,260
1100228,495
1100228,1143
1100228,3142
1100228,2636
1100228,428
1100228,1554
1100228,171
1100131,622
1100131,701
1100131,126
1100131,793
1100131,890
1100131,828
1100131,1882
1100131,2320
1100131,272
1100131,42
1100131,706
1100131,2658
1100131,386
1100131,681
1100131,260
1100131,495
1100131,1143
1100131,3142
1100131,2636
1100131,428
1100131,1554
1100131,171
1091231,622
1091231,701
1091231,126
1091231,793
1091231,890
1091231,828
1091231,1882
1091231,2320
1091231,272
1091231,42
1091231,706
1091231,2658
1091231,386
1091231,681
1091231,260
1091231,495
1091231,1143
1091231,3142
1091231,2636
1091231,428
1091231,1554
1091231,171
1091130,620
1091130,690
1091130,123
1091130,785
1091130,880
1091130,823
1091130,1877
1091130,2301
1091130,270
1091130,40
1091130,699
1091130,2641
1091130,386
1091130,681
1091130,260
1091130,494
1091130,1139
1091130,3116
1091130,2627
1091130,417
1091130,1549
1091130,170
1091031,620
1091031,690
1091031,123
1091031,784
1091031,880
1091031,823
1091031,1877
1091031,2301
1091031,270
1091031,40
1091031,699
1091031,2641
1091031,386
1091031,681
1091031,260
1091031,494
1091031,1139
1091031,3116
1091031,2627
1091031,417
1091031,1549
1091031,170
1090930,619
1090930,687
1090930,123
1090930,808
1090930,880
1090930,826
1090930,1894
1090930,2471
1090930,270
1090930,40
1090930,710
1090930,2887
1090930,386
1090930,682
1090930,260
1090930,494
1090930,1196
1090930,3413
1090930,2812
1090930,417
1090930,1599
1090930,170
1090831,598
1090831,673
1090831,123
1090831,785
1090831,880
1090831,823
1090831,1883
1090831,2471
1090831,267
1090831,40
1090831,699
1090831,2852
1090831,386
1090831,682
1090831,260
1090831,494
1090831,1148
1090831,3352
1090831,2749
1090831,417
1090831,1550
1090831,170
1090731,584
1090731,671
1090731,123
1090731,784
1090731,880
1090731,823
1090731,1858
1090731,2421
1090731,263
1090731,40
1090731,699
1090731,2741
1090731,386
1090731,682
1090731,260
1090731,495
1090731,1141
1090731,3272
1090731,2705
1090731,417
1090731,1550
1090731,170
1090630,586
1090630,674
1090630,123
1090630,784
1090630,881
1090630,823
1090630,1858
1090630,2362
1090630,263
1090630,41
1090630,699
1090630,2686
1090630,386
1090630,682
1090630,261
1090630,495
1090630,1141
1090630,3182
1090630,2662
1090630,417
1090630,1550
1090630,170
1090531,584
1090531,674
1090531,123
1090531,780
1090531,881
1090531,810
1090531,1859
1090531,2302
1090531,263
1090531,41
1090531,691
1090531,2614
1090531,386
1090531,682
1090531,261
1090531,495
1090531,1121
1090531,3023
1090531,2586
1090531,417
1090531,1550
1090531,170
1090430,584
1090430,674
1090430,123
1090430,780
1090430,882
1090430,810
1090430,1859
1090430,2305
1090430,263
1090430,41
1090430,691
1090430,2614
1090430,386
1090430,682
1090430,261
1090430,495
1090430,1121
1090430,3023
1090430,2586
1090430,417
1090430,1552
1090430,170
1090331,584
1090331,674
1090331,123
1090331,780
1090331,883
1090331,810
1090331,1859
1090331,2305
1090331,263
1090331,41
1090331,691
1090331,2614
1090331,386
1090331,687
1090331,261
1090331,495
1090331,1121
1090331,3023
1090331,2586
1090331,417
1090331,1553
1090331,170
1090229,572
1090229,659
1090229,122
1090229,780
1090229,876
1090229,810
1090229,1854
1090229,2283
1090229,262
1090229,41
1090229,691
1090229,2606
1090229,386
1090229,687
1090229,260
1090229,488
1090229,1121
1090229,3023
1090229,2577
1090229,415
1090229,1544
1090229,170
1090131,572
1090131,662
1090131,122
1090131,759
1090131,876
1090131,790
1090131,1854
1090131,2283
1090131,262
1090131,41
1090131,679
1090131,2606
1090131,382
1090131,680
1090131,260
1090131,488
1090131,1085
1090131,2887
1090131,2577
1090131,415
1090131,1544
1090131,170
1081231,572
1081231,662
1081231,122
1081231,759
1081231,876
1081231,790
1081231,1854
1081231,2283
1081231,262
1081231,41
1081231,679
1081231,2606
1081231,382
1081231,680
1081231,260
1081231,488
1081231,1085
1081231,2887
1081231,2577
1081231,415
1081231,1544
1081231,170
1081130,560
1081130,629
1081130,122
1081130,759
1081130,871
1081130,790
1081130,1830
1081130,2258
1081130,257
1081130,39
1081130,679
1081130,2572
1081130,382
1081130,680
1081130,260
1081130,485
1081130,1085
1081130,2887
1081130,2547
1081130,410
1081130,1537
1081130,170
1081031,562
1081031,632
1081031,117
1081031,759
1081031,818
1081031,790
1081031,1832
1081031,2205
1081031,257
1081031,39
1081031,679
1081031,2580
1081031,382
1081031,680
1081031,257
1081031,475
1081031,1085
1081031,2887
1081031,2549
1081031,389
1081031,1505
1081031,170
1080930,562
1080930,632
1080930,117
1080930,759
1080930,818
1080930,790
1080930,1832
1080930,2205
1080930,257
1080930,39
1080930,679
1080930,2580
1080930,383
1080930,679
1080930,257
1080930,475
1080930,1085
1080930,2887
1080930,2549
1080930,389
1080930,1507
1080930,170
1080831,555
1080831,624
1080831,114
1080831,759
1080831,795
1080831,790
1080831,1828
1080831,2172
1080831,257
1080831,38
1080831,679
1080831,2571
1080831,383
1080831,679
1080831,254
